names,rater,friends
"['One', 'Five', 'Seven', 'Three', 'Eight', 'Four', 'Six']",One,"Five,One,Seven,Three"
"['Two', 'Eight', 'Four', 'Six', 'Five', 'One', 'Seven']",Two,"Eight,Four,Six,Two"
"['Three', 'Five', 'One', 'Seven', 'Eight', 'Four', 'Six']",Three,"Five,One,Seven,Three"
"['Four', 'Eight', 'Six', 'Two', 'Five', 'One', 'Seven']",Four,"Eight,Four,Six,Two"
"['Five', 'One', 'Seven', 'Three', 'Eight', 'Four', 'Six']",Five,"Five,One,Seven,Three"
"['Six', 'Eight', 'Four', 'Two', 'Five', 'One', 'Seven']",Six,"Eight,Four,Six,Two"
"['Seven', 'Five', 'One', 'Three', 'Eight', 'Four', 'Six']",Seven,"Five,One,Seven,Three"
"['Eight', 'Four', 'Six', 'Two', 'Five', 'One', 'Seven']",Eight,"Eight,Four,Six,Two"
"['One', 'Eight', 'Four', 'Six', 'Five', 'Seven', 'Three']",One,"Eight,Four,One,Six"
"['Two', 'Five', 'Seven', 'Three', 'Eight', 'Four', 'One']",Two,"Five,Seven,Three,Two"
"['Three', 'Five', 'Seven', 'Two', 'Eight', 'Four', 'One']",Three,"Five,Seven,Three,Two"
"['Four', 'Eight', 'One', 'Six', 'Five', 'Seven', 'Three']",Four,"Eight,Four,One,Six"
"['Five', 'Seven', 'Three', 'Two', 'Eight', 'Four', 'One']",Five,"Five,Seven,Three,Two"
"['Six', 'Eight', 'Four', 'One', 'Five', 'Seven', 'Three']",Six,"Eight,Four,One,Six"
"['Seven', 'Five', 'Three', 'Two', 'Eight', 'Four', 'One']",Seven,"Five,Seven,Three,Two"
"['Eight', 'Four', 'One', 'Six', 'Five', 'Seven', 'Three']",Eight,"Eight,Four,One,Six"
"['One', 'Two', 'Three', 'Six', 'Eight', 'Five', 'Seven']",One,"One,Six,Three,Two"
"['One', 'Six', 'Three', 'Two', 'Eight', 'Five', 'Four']",Two,"One,Six,Three,Two"
"['One', 'Six', 'Three', 'Two', 'Eight', 'Five', 'Four']",Three,"One,Six,Three,Two"
"['Four', 'Eight', 'Five', 'Seven', 'One', 'Six', 'Three']",Four,"Eight,Five,Four,Seven"
"['Five', 'Eight', 'Four', 'Seven', 'One', 'Six', 'Three']",Five,"Eight,Five,Four,Seven"
"['Six', 'One', 'Two', 'Three', 'Eight', 'Five', 'Four']",Six,"One,Six,Three,Two"
"['Seven', 'Eight', 'Five', 'Four', 'One', 'Six', 'Three']",Seven,"Eight,Five,Four,Seven"
