names,rater
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Seven
"['One', 'Two', 'Three', 'Five', 'Six', 'Seven', 'Eight']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['One', 'Two', 'Three', 'Four', 'Five', 'Seven', 'Eight']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Eight']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Two
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Three
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Four
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Five
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",Six
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Seven
"['Five', 'Six', 'Seven', 'Eight', 'One', 'Two', 'Three']",Eight
"['One', 'Two', 'Three', 'Four', 'Five', 'Six', 'Seven']",One
