name,percentage,total_num,rater,kind
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,25.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,25.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,33.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,25.0,5,One,self
Two,20.0,5,Two,self
Three,25.0,5,Three,self
Four,20.0,5,Four,self
Five,,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,25.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,25.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,25.0,5,One,self
Two,50.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,25.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,25.0,5,One,self
Two,25.0,5,Two,self
Three,25.0,5,Three,self
Four,0.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
Two,20.0,5,Two,self
Three,20.0,5,Three,self
Four,20.0,5,Four,self
Five,20.0,5,Five,self
One,20.0,5,One,self
