name,percentage,total_num,rater,kind
One,15,5,One,self
Two,20,5,One,peer
Three,20,5,One,peer
Four,20,5,One,peer
Five,25,5,One,peer
One,15,5,Two,peer
Two,20,5,Two,self
Three,20,5,Two,peer
Four,20,5,Two,peer
Five,25,5,Two,peer
One,20,5,Three,peer
Two,20,5,Three,peer
Three,20,5,Three,self
Four,20,5,Three,peer
Five,20,5,Three,peer
One,15,5,Four,peer
Two,15,5,Four,peer
Three,20,5,Four,peer
Four,20,5,Four,self
Five,30,5,Four,peer
One,15,5,Five,peer
Two,15,5,Five,peer
Three,20,5,Five,peer
Four,20,5,Five,peer
Five,30,5,Five,self
One,20,5,One,self
Two,20,5,One,peer
Three,20,5,One,peer
Four,20,5,One,peer
Five,20,5,One,peer
One,15,5,Two,peer
Two,20,5,Two,self
Three,20,5,Two,peer
Four,25,5,Two,peer
Five,20,5,Two,peer
One,20,5,Three,peer
Two,20,5,Three,peer
Three,20,5,Three,self
Four,20,5,Three,peer
Five,20,5,Three,peer
One,20,5,Four,peer
Two,20,5,Four,peer
Three,20,5,Four,peer
Four,20,5,Four,self
Five,20,5,Four,peer
One,15,5,Five,peer
Two,15,5,Five,peer
Three,20,5,Five,peer
Four,25,5,Five,peer
Five,25,5,Five,self
One,20,5,One,self
Two,25,5,One,peer
Three,20,5,One,peer
Four,20,5,One,peer
Five,15,5,One,peer
One,20,5,Two,peer
Two,25,5,Two,self
Three,15,5,Two,peer
Four,20,5,Two,peer
Five,20,5,Two,peer
One,20,5,Three,peer
Two,20,5,Three,peer
Three,20,5,Three,self
Four,20,5,Three,peer
Five,20,5,Three,peer
One,20,5,Four,peer
Two,20,5,Four,peer
Three,20,5,Four,peer
Four,20,5,Four,self
Five,20,5,Four,peer
One,20,5,Five,peer
Two,25,5,Five,peer
Three,15,5,Five,peer
Four,20,5,Five,peer
Five,20,5,Five,self
One,20,5,One,self
Two,20,5,One,peer
Three,20,5,One,peer
Four,20,5,One,peer
Five,20,5,One,peer
One,20,5,Two,peer
Two,20,5,Two,self
Three,20,5,Two,peer
Four,20,5,Two,peer
Five,20,5,Two,peer
One,15,5,Three,peer
Two,15,5,Three,peer
Three,20,5,Three,self
Four,25,5,Three,peer
Five,25,5,Three,peer
One,20,5,Four,peer
Two,20,5,Four,peer
Three,15,5,Four,peer
Four,25,5,Four,self
Five,20,5,Four,peer
One,20,5,Five,peer
Two,20,5,Five,peer
Three,15,5,Five,peer
Four,15,5,Five,peer
Five,30,5,Five,self
One,20,5,One,self
Two,20,5,One,peer
Three,20,5,One,peer
Four,20,5,One,peer
Five,20,5,One,peer
One,20,5,Two,peer
Two,20,5,Two,self
Three,20,5,Two,peer
Four,20,5,Two,peer
Five,20,5,Two,peer
One,20,5,Three,peer
Two,20,5,Three,peer
Three,25,5,Three,self
Four,20,5,Three,peer
Five,15,5,Three,peer
One,20,5,Four,peer
Two,20,5,Four,peer
Three,20,5,Four,peer
Four,20,5,Four,self
Five,20,5,Four,peer
One,20,5,Five,peer
Two,20,5,Five,peer
Three,20,5,Five,peer
Four,20,5,Five,peer
Five,20,5,Five,self
One,20,5,One,self
Two,20,5,One,peer
Three,15,5,One,peer
Four,25,5,One,peer
Five,20,5,One,peer
One,20,5,Two,peer
Two,20,5,Two,self
Three,20,5,Two,peer
Four,20,5,Two,peer
Five,20,5,Two,peer
One,20,5,Three,peer
Two,20,5,Three,peer
Three,15,5,Three,self
Four,20,5,Three,peer
Five,25,5,Three,peer
One,20,5,Four,peer
Two,20,5,Four,peer
Three,15,5,Four,peer
Four,25,5,Four,self
Five,20,5,Four,peer
One,20,5,Five,peer
Two,20,5,Five,peer
Three,15,5,Five,peer
Four,20,5,Five,peer
Five,25,5,Five,self
One,20,5,One,self
Two,25,5,One,peer
Three,20,5,One,peer
Four,20,5,One,peer
Five,15,5,One,peer
One,15,5,Two,peer
Two,25,5,Two,self
Three,20,5,Two,peer
Four,20,5,Two,peer
Five,20,5,Two,peer
One,20,5,Three,peer
Two,20,5,Three,peer
Three,20,5,Three,self
Four,20,5,Three,peer
Five,20,5,Three,peer
One,15,5,Four,peer
Two,20,5,Four,peer
Three,20,5,Four,peer
Four,25,5,Four,self
Five,20,5,Four,peer
One,15,5,Five,peer
Two,20,5,Five,peer
Three,20,5,Five,peer
Four,20,5,Five,peer
Five,25,5,Five,self
One,15,5,One,self
Two,25,5,One,peer
Three,20,5,One,peer
Four,20,5,One,peer
Five,20,5,One,peer
One,20,5,Two,peer
Two,20,5,Two,self
Three,20,5,Two,peer
Four,20,5,Two,peer
Five,20,5,Two,peer
One,15,5,Three,peer
Two,15,5,Three,peer
Three,25,5,Three,self
Four,20,5,Three,peer
Five,25,5,Three,peer
One,15,5,Four,peer
Two,15,5,Four,peer
Three,20,5,Four,peer
Four,25,5,Four,self
Five,25,5,Four,peer
One,20,5,Five,peer
Two,20,5,Five,peer
Three,15,5,Five,peer
Four,20,5,Five,peer
Five,25,5,Five,self
One,25,5,One,self
Two,20,5,One,peer
Three,20,5,One,peer
Four,20,5,One,peer
Five,15,5,One,peer
One,20,5,Two,peer
Two,20,5,Two,self
Three,25,5,Two,peer
Four,20,5,Two,peer
Five,15,5,Two,peer
One,20,5,Three,peer
Two,20,5,Three,peer
Three,20,5,Three,self
Four,20,5,Three,peer
Five,20,5,Three,peer
One,20,5,Four,peer
Two,20,5,Four,peer
Three,20,5,Four,peer
Four,20,5,Four,self
Five,20,5,Four,peer
One,20,5,Five,peer
Two,20,5,Five,peer
Three,20,5,Five,peer
Four,20,5,Five,peer
Five,20,5,Five,self
One,20,5,One,self
Two,20,5,One,peer
Three,20,5,One,peer
