name,percentage,rater,kind
One,25.0,One,self
Two,25.0,Two,self
Three,25.0,Three,self
Four,25.0,Four,self
Five,30.0,Five,self
One,30.0,One,self
Two,40.0,Two,self
Three,20.0,Three,self
Four,20.0,Four,self
Five,20.0,Five,self
One,30.0,One,self
Two,30.0,Two,self
Three,25.0,Three,self
Four,25.0,Four,self
Five,10.0,Five,self
One,25.0,One,self
Two,25.0,Two,self
Three,25.0,Three,self
Four,20.0,Four,self
Five,30.0,Five,self
One,25.0,One,self
Two,30.0,Two,self
Three,18.0,Three,self
Four,25.0,Four,self
Five,22.0,Five,self
One,30.0,One,self
Two,30.0,Two,self
Three,25.0,Three,self
Four,25.0,Four,self
Five,25.0,Five,self
One,25.0,One,self
Two,30.0,Two,self
Three,20.0,Three,self
Four,25.0,Four,self
Five,20.0,Five,self
One,30.0,One,self
Two,25.0,Two,self
Three,25.0,Three,self
Four,25.0,Four,self
Five,5.0,Five,self
One,30.0,One,self
Two,30.0,Two,self
Three,20.0,Three,self
Four,25.0,Four,self
Five,25.0,Five,self
One,25.0,One,self
Two,30.0,Two,self
Three,20.0,Three,self
Four,25.0,Four,self
Five,25.0,Five,self
One,25.0,One,self
Two,30.0,Two,self
Three,22.0,Three,self
Four,22.0,Four,self
Five,20.0,Five,self
One,20.0,One,self
Two,30.0,Two,self
Three,25.0,Three,self
Four,25.0,Four,self
Five,15.0,Five,self
One,25.0,One,self
Two,25.0,Two,self
Three,25.0,Three,self
Four,25.0,Four,self
Five,20.0,Five,self
One,25.0,One,self
Two,30.0,Two,self
Three,18.0,Three,self
Four,28.13,Four,self
Five,20.0,Five,self
One,25.0,One,self
Two,25.0,Two,self
Three,20.0,Three,self
Four,25.0,Four,self
Five,25.0,Five,self
One,30.0,One,self
Two,25.0,Two,self
Three,20.0,Three,self
Four,25.0,Four,self
Five,25.0,Five,self
One,25.0,One,self
Two,30.0,Two,self
Three,25.0,Three,self
Four,20.0,Four,self
Five,22.0,Five,self
One,25.0,One,self
Two,30.0,Two,self
Three,25.0,Three,self
Four,20.0,Four,self
Five,20.0,Five,self
One,25.0,One,self
Two,25.0,Two,self
Three,20.0,Three,self
Four,25.0,Four,self
Five,25.0,Five,self
One,25.0,One,self
Two,25.0,Two,self
Three,22.0,Three,self
Four,20.0,Four,self
Five,25.0,Five,self
One,25.0,One,self
Two,30.0,Two,self
Three,30.0,Three,self
Four,25.0,Four,self
Five,10.0,Five,self
One,25.0,One,self
Two,15.0,Two,self
Three,25.0,Three,self
Four,25.0,Four,self
Five,30.0,Five,self
One,25.0,One,self
Two,30.0,Two,self
Three,20.0,Three,self
Four,25.0,Four,self
Five,20.0,Five,self
One,25.0,One,self
Two,25.0,Two,self
