name,percentage,rater,kind
One,25,One,self
Two,30,Two,self
Three,25,Three,self
Four,25,Four,self
Five,25,Five,self
One,20,One,self
Two,25,Two,self
Three,25,Three,self
Four,20,Four,self
Five,20,Five,self
One,20,One,self
Two,25,Two,self
Three,20,Three,self
Four,20,Four,self
Five,20,Five,self
One,25,One,self
Two,25,Two,self
Three,25,Three,self
Four,30,Four,self
Five,15,Five,self
One,20,One,self
Two,20,Two,self
Three,20,Three,self
Four,20,Four,self
Five,20,Five,self
One,20,One,self
Two,25,Two,self
Three,25,Three,self
Four,20,Four,self
Five,20,Five,self
One,20,One,self
Two,20,Two,self
Three,25,Three,self
Four,25,Four,self
Five,20,Five,self
One,15,One,self
Two,20,Two,self
Three,25,Three,self
Four,25,Four,self
Five,20,Five,self
One,20,One,self
Two,25,Two,self
Three,25,Three,self
Four,20,Four,self
Five,20,Five,self
One,25,One,self
Two,25,Two,self
Three,20,Three,self
Four,20,Four,self
Five,20,Five,self
One,20,One,self
Two,30,Two,self
Three,20,Three,self
Four,20,Four,self
Five,20,Five,self
One,25,One,self
Two,25,Two,self
Three,25,Three,self
Four,20,Four,self
Five,20,Five,self
One,20,One,self
Two,30,Two,self
Three,25,Three,self
Four,25,Four,self
Five,30,Five,self
One,20,One,self
Two,30,Two,self
Three,25,Three,self
Four,20,Four,self
Five,15,Five,self
One,20,One,self
Two,30,Two,self
Three,20,Three,self
Four,30,Four,self
Five,20,Five,self
One,20,One,self
Two,25,Two,self
Three,25,Three,self
Four,20,Four,self
Five,20,Five,self
One,30,One,self
Two,25,Two,self
Three,20,Three,self
Four,20,Four,self
Five,20,Five,self
One,20,One,self
Two,25,Two,self
Three,25,Three,self
Four,20,Four,self
Five,20,Five,self
One,25,One,self
Two,20,Two,self
Three,25,Three,self
Four,25,Four,self
Five,20,Five,self
One,20,One,self
Two,25,Two,self
Three,25,Three,self
Four,25,Four,self
Five,20,Five,self
One,20,One,self
Two,25,Two,self
Three,25,Three,self
Four,20,Four,self
Five,25,Five,self
One,20,One,self
Two,20,Two,self
Three,25,Three,self
Four,20,Four,self
Five,20,Five,self
One,20,One,self
Two,25,Two,self
Three,20,Three,self
Four,25,Four,self
Five,20,Five,self
One,20,One,self
Two,25,Two,self
Three,20,Three,self
Four,25,Four,self
Five,20,Five,self
One,20,One,self
Two,25,Two,self
Three,25,Three,self
Four,25,Four,self
Five,20,Five,self
One,20,One,self
Two,25,Two,self
Three,25,Three,self
Four,15,Four,self
Five,25,Five,self
One,20,One,self
Two,20,Two,self
Three,20,Three,self
Four,25,Four,self
Five,25,Five,self
One,20,One,self
Two,25,Two,self
Three,20,Three,self
Four,25,Four,self
Five,20,Five,self
One,25,One,self
Two,25,Two,self
Three,25,Three,self
Four,25,Four,self
Five,20,Five,self
One,40,One,self
Two,30,Two,self
Three,20,Three,self
Four,25,Four,self
Five,20,Five,self
One,25,One,self
Two,25,Two,self
Three,25,Three,self
Four,25,Four,self
Five,20,Five,self
One,25,One,self
Two,30,Two,self
Three,25,Three,self
Four,25,Four,self
Five,20,Five,self
One,25,One,self
Two,25,Two,self
Three,20,Three,self
Four,25,Four,self
Five,20,Five,self
One,25,One,self
Two,25,Two,self
Three,25,Three,self
Four,25,Four,self
Five,30,Five,self
One,20,One,self
Two,20,Two,self
Three,25,Three,self
Four,20,Four,self
Five,25,Five,self
One,30,One,self
Two,25,Two,self
Three,25,Three,self
Four,25,Four,self
Five,20,Five,self
One,25,One,self
Two,25,Two,self
Three,25,Three,self
Four,25,Four,self
Five,20,Five,self
One,25,One,self
Two,30,Two,self
Three,25,Three,self
Four,25,Four,self
Five,20,Five,self
One,10,One,self
Two,20,Two,self
Three,20,Three,self
Four,25,Four,self
Five,25,Five,self
One,25,One,self
Two,25,Two,self
Three,25,Three,self
Four,25,Four,self
Five,20,Five,self
One,30,One,self
Two,25,Two,self
Three,25,Three,self
Four,25,Four,self
Five,20,Five,self
One,25,One,self
Two,25,Two,self
Three,20,Three,self
Four,25,Four,self
Five,20,Five,self
One,20,One,self
Two,25,Two,self
Three,25,Three,self
Four,25,Four,self
Five,20,Five,self
One,20,One,self
Two,20,Two,self
Three,25,Three,self
Four,20,Four,self
Five,20,Five,self
One,25,One,self
Two,25,Two,self
Three,20,Three,self
Four,25,Four,self
Five,20,Five,self
One,25,One,self
Two,30,Two,self
Three,25,Three,self
Four,25,Four,self
Five,20,Five,self
One,25,One,self
Two,30,Two,self
Three,25,Three,self
Four,25,Four,self
Five,25,Five,self
One,20,One,self
Two,25,Two,self
Three,20,Three,self
Four,20,Four,self
Five,25,Five,self
One,20,One,self
Two,30,Two,self
Three,25,Three,self
Four,20,Four,self
Five,15,Five,self
One,20,One,self
Two,25,Two,self
Three,25,Three,self
Four,25,Four,self
Five,25,Five,self
