name,percentage,total_num,rater,kind
One,20,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,30,5,Four,self
Five,15,5,Five,self
One,25,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,25,5,Five,self
One,25,5,One,self
Two,30,5,Two,self
Three,20,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,20,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,25,5,Five,self
One,20,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,25,5,Five,self
One,30,5,One,self
Two,30,5,Two,self
Three,15,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,30,5,One,self
Two,20,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,15,5,One,self
Two,20,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,20,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,20,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,10,5,Five,self
One,20,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,20,5,Four,self
Five,20,5,Five,self
One,30,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,10,5,Five,self
One,25,5,One,self
Two,25,5,Two,self
Three,20,5,Three,self
Four,20,5,Four,self
Five,25,5,Five,self
One,20,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,20,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,20,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,25,5,Two,self
Three,20,5,Three,self
Four,20,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,25,5,Two,self
Three,20,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,25,5,Five,self
One,15,5,One,self
Two,20,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,20,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,20,5,Four,self
Five,20,5,Five,self
One,20,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,25,5,Five,self
One,20,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,20,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,20,5,One,self
Two,25,5,Two,self
Three,20,5,Three,self
Four,20,5,Four,self
Five,25,5,Five,self
One,25,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,15,5,Five,self
One,25,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,30,5,One,self
Two,25,5,Two,self
Three,20,5,Three,self
Four,20,5,Four,self
Five,25,5,Five,self
One,25,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,20,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,15,5,Five,self
One,25,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,25,5,Five,self
One,20,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,20,5,Four,self
Five,25,5,Five,self
One,20,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,20,5,Four,self
Five,20,5,Five,self
One,20,5,One,self
Two,25,5,Two,self
Three,30,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,15,5,Five,self
One,20,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,20,5,Four,self
Five,20,5,Five,self
One,30,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,30,5,Two,self
Three,15,5,Three,self
Four,25,5,Four,self
Five,25,5,Five,self
One,25,5,One,self
Two,25,5,Two,self
Three,30,5,Three,self
Four,15,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,20,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,20,5,One,self
Two,25,5,Two,self
Three,20,5,Three,self
Four,20,5,Four,self
Five,20,5,Five,self
One,20,5,One,self
Two,20,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,20,5,One,self
Two,25,5,Two,self
Three,20,5,Three,self
Four,20,5,Four,self
Five,15,5,Five,self
One,20,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
One,25,5,One,self
Two,25,5,Two,self
Three,25,5,Three,self
Four,20,5,Four,self
Five,20,5,Five,self
One,20,5,One,self
Two,30,5,Two,self
Three,25,5,Three,self
Four,25,5,Four,self
Five,20,5,Five,self
