round,name,in_group_avg,out_group_avg
0,One,13.0,11.5
0,Two,11.666666666666666,12.5
0,Three,12.0,12.75
0,Four,14.333333333333334,11.25
0,Five,11.333333333333334,13.5
0,Six,12.0,13.5
0,Seven,11.666666666666666,13.75
0,Eight,13.666666666666666,11.0
1,One,13.333333333333334,12.5
1,Two,13.333333333333334,12.5
1,Three,10.666666666666666,14.0
1,Four,11.666666666666666,12.5
1,Five,13.333333333333334,12.5
1,Six,15.0,10.0
1,Seven,13.333333333333334,12.5
1,Eight,14.0,11.0
2,One,11.666666666666666,12.5
2,Two,11.666666666666666,12.5
2,Three,10.0,13.75
2,Four,10.0,15.0
2,Five,15.0,10.0
2,Six,15.0,11.25
2,Seven,13.333333333333334,11.25
2,Eight,15.0,10.0
3,One,13.333333333333334,11.25
3,Two,11.666666666666666,12.5
3,Three,10.0,13.75
3,Four,8.333333333333334,16.25
3,Five,13.333333333333334,11.25
3,Six,11.666666666666666,12.5
3,Seven,16.666666666666668,10.0
3,Eight,13.333333333333334,12.5
4,One,11.666666666666666,12.5
4,Two,13.333333333333334,11.25
4,Three,11.666666666666666,12.5
4,Four,13.333333333333334,12.5
4,Five,13.333333333333334,12.5
4,Six,15.0,10.0
4,Seven,11.666666666666666,12.5
4,Eight,11.666666666666666,12.5
5,One,11.666666666666666,12.5
5,Two,11.666666666666666,12.5
5,Three,15.0,11.25
5,Four,13.333333333333334,12.5
5,Five,13.333333333333334,12.5
5,Six,13.333333333333334,12.5
5,Seven,11.666666666666666,12.5
5,Eight,11.666666666666666,12.5
6,One,11.666666666666666,13.75
6,Two,10.0,15.0
6,Three,12.0,13.0
6,Four,10.0,15.0
6,Five,15.0,10.0
6,Six,15.0,10.0
6,Seven,15.0,10.0
6,Eight,15.0,10.0
7,One,10.0,15.0
7,Two,13.333333333333334,12.5
7,Three,11.666666666666666,12.5
7,Four,10.666666666666666,14.0
7,Five,15.0,10.0
7,Six,14.0,11.0
7,Seven,15.0,10.0
7,Eight,15.0,10.0
8,One,13.333333333333334,12.5
8,Two,11.666666666666666,13.75
8,Three,13.333333333333334,12.5
8,Four,15.0,10.0
8,Five,11.666666666666666,13.75
8,Six,11.666666666666666,13.75
8,Seven,11.666666666666666,12.5
8,Eight,11.666666666666666,12.5
9,One,11.666666666666666,12.5
9,Two,11.666666666666666,12.5
9,Three,13.333333333333334,12.5
9,Four,13.333333333333334,12.5
9,Five,12.666666666666666,12.5
9,Six,11.666666666666666,12.5
9,Seven,13.333333333333334,12.5
9,Eight,10.0,12.5
10,One,13.333333333333334,12.5
10,Two,11.666666666666666,11.25
10,Three,15.0,11.25
10,Four,11.666666666666666,12.5
10,Five,10.0,13.75
10,Six,11.666666666666666,12.5
10,Seven,10.0,12.5
10,Eight,13.333333333333334,12.5
11,One,11.666666666666666,13.75
11,Two,11.666666666666666,12.5
11,Three,13.333333333333334,12.5
11,Four,10.0,15.0
11,Five,11.666666666666666,12.5
11,Six,16.666666666666668,10.0
11,Seven,16.666666666666668,10.0
11,Eight,15.0,10.0
12,One,13.0,11.5
12,Two,11.666666666666666,12.5
12,Three,11.666666666666666,12.5
12,Four,12.333333333333334,12.5
12,Five,14.666666666666666,11.0
12,Six,15.0,10.0
12,Seven,12.666666666666666,12.5
12,Eight,12.333333333333334,12.5
13,One,10.0,15.0
13,Two,10.0,15.0
13,Three,10.0,15.0
13,Four,10.0,15.0
13,Five,15.0,10.0
13,Six,15.0,10.0
13,Seven,15.0,10.0
13,Eight,15.0,10.0
14,One,10.0,15.0
14,Two,10.0,15.0
14,Three,10.0,15.0
14,Four,10.0,15.0
14,Five,15.0,10.0
14,Six,11.666666666666666,12.5
14,Seven,15.0,10.0
14,Eight,15.0,10.0
15,One,10.0,13.75
15,Two,10.0,13.75
15,Three,10.0,15.0
15,Four,10.0,15.0
15,Five,15.0,10.0
15,Six,15.0,10.0
15,Seven,15.0,10.0
15,Eight,16.666666666666668,10.0
16,One,11.666666666666666,12.5
16,Two,11.666666666666666,10.0
16,Three,15.0,11.25
16,Four,14.0,11.5
16,Five,11.666666666666666,13.75
16,Six,13.333333333333334,12.5
16,Seven,11.666666666666666,12.5
16,Eight,10.0,13.75
17,One,11.666666666666666,12.5
17,Two,10.0,15.0
17,Three,10.0,15.0
17,Four,10.0,15.0
17,Five,13.333333333333334,10.0
17,Six,13.333333333333334,12.5
17,Seven,13.333333333333334,10.0
17,Eight,16.666666666666668,10.0
18,One,11.666666666666666,13.75
18,Two,10.0,13.75
18,Three,10.0,15.0
18,Four,11.666666666666666,13.75
18,Five,13.333333333333334,10.0
18,Six,15.0,10.0
18,Seven,15.0,10.0
18,Eight,14.0,11.0
19,One,11.666666666666666,12.5
19,Two,13.333333333333334,12.5
19,Three,11.666666666666666,12.5
19,Four,11.666666666666666,12.5
19,Five,11.666666666666666,12.5
19,Six,11.666666666666666,12.5
19,Seven,11.666666666666666,12.5
19,Eight,13.333333333333334,12.5
20,One,11.666666666666666,12.5
20,Two,11.666666666666666,12.5
20,Three,15.0,10.0
20,Four,15.0,10.0
20,Five,11.666666666666666,12.5
20,Six,11.666666666666666,12.5
20,Seven,13.333333333333334,12.5
20,Eight,10.0,12.5
21,One,13.333333333333334,11.25
21,Two,13.333333333333334,11.25
21,Three,13.333333333333334,10.0
21,Four,15.0,11.25
21,Five,11.0,13.75
21,Six,11.666666666666666,13.75
21,Seven,11.666666666666666,13.75
21,Eight,11.666666666666666,12.5
22,One,13.0,11.5
22,Two,11.666666666666666,10.0
22,Three,11.666666666666666,12.5
22,Four,11.666666666666666,12.5
22,Five,11.333333333333334,13.5
22,Six,10.0,12.5
22,Seven,12.0,12.5
22,Eight,11.0,13.5
23,One,10.0,15.0
23,Two,10.0,13.75
23,Three,10.0,15.0
23,Four,10.0,15.0
23,Five,15.0,10.0
23,Six,15.0,10.0
23,Seven,15.0,10.0
23,Eight,15.0,10.0
24,One,11.666666666666666,12.5
24,Two,11.666666666666666,13.75
24,Three,11.666666666666666,13.75
24,Four,11.666666666666666,12.5
24,Five,13.333333333333334,11.25
24,Six,12.666666666666666,12.5
24,Seven,11.666666666666666,12.5
24,Eight,15.0,8.75
25,One,11.666666666666666,13.75
25,Two,13.0,11.5
25,Three,10.0,13.75
25,Four,11.666666666666666,13.75
25,Five,13.333333333333334,12.5
25,Six,13.666666666666666,11.0
25,Seven,15.0,10.0
25,Eight,15.0,10.0
26,One,16.666666666666668,10.0
26,Two,13.333333333333334,12.5
26,Three,13.333333333333334,10.0
26,Four,15.0,10.0
26,Five,10.0,15.0
26,Six,10.0,15.0
26,Seven,11.666666666666666,15.0
26,Eight,15.0,12.5
27,One,15.0,10.0
27,Two,13.333333333333334,11.25
27,Three,10.0,13.75
27,Four,15.0,10.0
27,Five,13.333333333333334,12.5
27,Six,15.0,10.0
27,Seven,13.333333333333334,12.5
27,Eight,10.666666666666666,10.5
28,One,11.666666666666666,13.75
28,Two,10.0,13.75
28,Three,11.666666666666666,12.5
28,Four,10.666666666666666,15.0
28,Five,13.333333333333334,11.25
28,Six,15.0,10.0
28,Seven,15.0,10.0
28,Eight,15.0,10.0
29,One,13.333333333333334,10.0
29,Two,13.333333333333334,11.25
29,Three,13.333333333333334,11.25
29,Four,15.0,10.0
29,Five,11.666666666666666,13.75
29,Six,10.0,13.75
29,Seven,11.666666666666666,12.5
29,Eight,12.5,12.5
30,One,11.666666666666666,12.5
30,Two,13.333333333333334,10.0
30,Three,13.333333333333334,12.5
30,Four,15.0,10.0
30,Five,11.666666666666666,12.5
30,Six,15.0,11.25
30,Seven,13.333333333333334,12.5
30,Eight,13.333333333333334,12.5
31,One,13.333333333333334,12.5
31,Two,11.333333333333334,14.0
31,Three,10.666666666666666,13.25
31,Four,11.666666666666666,12.5
31,Five,15.0,10.0
31,Six,15.0,10.0
31,Seven,11.666666666666666,12.5
31,Eight,15.0,10.0
32,One,11.666666666666666,12.5
32,Two,11.666666666666666,12.5
32,Three,13.333333333333334,12.5
32,Four,13.333333333333334,12.5
32,Five,11.333333333333334,13.5
32,Six,13.333333333333334,12.5
32,Seven,11.666666666666666,12.5
32,Eight,13.333333333333334,12.5
33,One,15.0,10.0
33,Two,13.333333333333334,11.25
33,Three,10.666666666666666,14.0
33,Four,13.333333333333334,12.5
33,Five,11.333333333333334,13.5
33,Six,11.666666666666666,12.5
33,Seven,14.333333333333334,11.0
33,Eight,12.0,13.5
34,One,13.333333333333334,11.25
34,Two,11.333333333333334,10.25
34,Three,12.0,13.0
34,Four,13.333333333333334,12.5
34,Five,13.333333333333334,12.5
34,Six,11.333333333333334,13.5
34,Seven,13.333333333333334,12.5
34,Eight,11.666666666666666,12.5
