name,percentage,total_num,rater,kind
one,40,4,one,self
two,20,4,two,self
three,30,4,three,self
four,60,4,four,self
one,20,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,60,4,four,self
one,20,4,one,self
two,25,4,two,self
three,25,4,three,self
four,30,4,four,self
one,25,4,one,self
two,25,4,two,self
three,40,4,three,self
four,25,4,four,self
one,20,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,30,4,three,self
four,25,4,four,self
one,20,4,one,self
two,30,4,two,self
three,25,4,three,self
four,30,4,four,self
one,30,4,one,self
two,25,4,two,self
three,25,4,three,self
four,20,4,four,self
one,25,4,one,self
two,30,4,two,self
three,30,4,three,self
four,30,4,four,self
one,25,4,one,self
two,30,4,two,self
three,25,4,three,self
four,25,4,four,self
one,30,4,one,self
two,25,4,two,self
three,30,4,three,self
four,20,4,four,self
one,25,4,one,self
two,30,4,two,self
three,25,4,three,self
four,25,4,four,self
one,30,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,50,4,one,self
two,30,4,two,self
three,30,4,three,self
four,0,4,four,self
one,30,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,30,4,one,self
two,30,4,two,self
three,30,4,three,self
four,25,4,four,self
one,30,4,one,self
two,30,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,30,4,two,self
three,30,4,three,self
four,25,4,four,self
one,25,4,one,self
two,30,4,two,self
three,25,4,three,self
four,20,4,four,self
one,25,4,one,self
two,30,4,two,self
three,40,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,20,4,one,self
two,25,4,two,self
three,30,4,three,self
four,25,4,four,self
