name,percentage,total_num,rater,kind
one,35,4,one,self
two,30,4,two,self
three,40,4,three,self
four,10,4,four,self
one,25,4,one,self
two,20,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,30,4,three,self
four,25,4,four,self
one,20,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,40,4,one,self
two,30,4,two,self
three,20,4,three,self
four,10,4,four,self
one,25,4,one,self
two,25,4,two,self
three,30,4,three,self
four,25,4,four,self
one,35,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,30,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,30,4,two,self
three,25,4,three,self
four,10,4,four,self
one,25,4,one,self
two,30,4,two,self
three,20,4,three,self
four,20,4,four,self
one,25,4,one,self
two,25,4,two,self
three,30,4,three,self
four,25,4,four,self
one,30,4,one,self
two,30,4,two,self
three,30,4,three,self
four,20,4,four,self
one,25,4,one,self
two,30,4,two,self
three,30,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,30,4,three,self
four,10,4,four,self
one,20,4,one,self
two,35,4,two,self
three,25,4,three,self
four,20,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,10,4,four,self
one,25,4,one,self
two,30,4,two,self
three,40,4,three,self
four,25,4,four,self
one,25,4,one,self
two,30,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,50,4,one,self
two,50,4,two,self
three,30,4,three,self
four,10,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,30,4,three,self
four,10,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,20,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,10,4,four,self
one,100,4,one,self
two,5,4,two,self
three,25,4,three,self
four,20,4,four,self
one,40,4,one,self
two,40,4,two,self
three,40,4,three,self
four,0,4,four,self
one,25,4,one,self
two,25,4,two,self
three,30,4,three,self
four,10,4,four,self
one,25,4,one,self
two,30,4,two,self
three,25,4,three,self
four,25,4,four,self
one,40,4,one,self
two,35,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,20,4,four,self
one,25,4,one,self
two,30,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,100,4,one,self
two,10,4,two,self
three,0,4,three,self
four,0,4,four,self
one,25,4,one,self
two,40,4,two,self
three,30,4,three,self
four,25,4,four,self
one,33,4,one,self
two,30,4,two,self
three,20,4,three,self
four,40,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,20,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,40,4,one,self
two,25,4,two,self
three,30,4,three,self
four,25,4,four,self
one,25,4,one,self
two,30,4,two,self
three,25,4,three,self
four,10,4,four,self
one,25,4,one,self
two,25,4,two,self
three,30,4,three,self
four,25,4,four,self
one,30,4,one,self
two,25,4,two,self
three,20,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,20,4,one,self
two,30,4,two,self
three,25,4,three,self
four,10,4,four,self
one,25,4,one,self
two,25,4,two,self
three,20,4,three,self
four,20,4,four,self
one,40,4,one,self
two,30,4,two,self
three,20,4,three,self
four,0,4,four,self
