name,percentage,total_num,rater,kind
one,25,4,one,self
one,20,4,two,peer
two,30,4,two,self
three,25,4,two,peer
four,25,4,two,peer
three,25,4,three,self
one,20,4,four,peer
two,30,4,four,peer
three,20,4,four,peer
four,30,4,four,self
one,25,4,one,self
one,20,4,two,peer
two,30,4,two,self
three,25,4,two,peer
four,25,4,two,peer
three,25,4,three,self
one,25,4,four,peer
two,25,4,four,peer
three,25,4,four,peer
four,25,4,four,self
one,40,4,one,self
two,25,4,two,self
three,30,4,three,self
one,30,4,four,peer
two,20,4,four,peer
three,25,4,four,peer
four,25,4,four,self
one,25,4,one,self
one,25,4,two,peer
two,30,4,two,self
three,20,4,two,peer
four,25,4,two,peer
one,25,4,three,peer
two,25,4,three,peer
three,40,4,three,self
four,10,4,three,peer
one,20,4,four,peer
two,20,4,four,peer
three,20,4,four,peer
four,40,4,four,self
one,40,4,one,self
two,30,4,two,self
three,0,4,three,self
four,25,4,four,self
one,30,4,one,self
one,20,4,two,peer
two,40,4,two,self
three,15,4,two,peer
four,25,4,two,peer
three,25,4,three,self
one,25,4,four,peer
two,25,4,four,peer
three,25,4,four,peer
four,25,4,four,self
one,40,4,one,self
two,10,4,two,self
three,30,4,three,self
one,30,4,four,peer
two,20,4,four,peer
three,25,4,four,peer
four,25,4,four,self
one,40,4,one,self
two,25,4,two,self
one,30,4,three,peer
two,20,4,three,peer
three,25,4,three,self
four,25,4,three,peer
four,25,4,four,self
one,30,4,one,self
one,20,4,two,peer
two,30,4,two,self
three,20,4,two,peer
four,30,4,two,peer
three,25,4,three,self
one,20,4,four,peer
two,20,4,four,peer
three,20,4,four,peer
four,40,4,four,self
one,25,4,one,self
two,30,4,one,peer
three,20,4,one,peer
four,25,4,one,peer
one,20,4,two,peer
two,30,4,two,self
three,25,4,two,peer
four,25,4,two,peer
three,25,4,three,self
one,20,4,four,peer
two,30,4,four,peer
three,25,4,four,peer
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,30,4,three,self
four,25,4,four,self
one,30,4,one,self
one,20,4,two,peer
two,30,4,two,self
three,25,4,two,peer
four,25,4,two,peer
three,25,4,three,self
four,25,4,four,self
one,30,4,one,self
one,20,4,two,peer
two,30,4,two,self
three,25,4,two,peer
four,25,4,two,peer
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
one,20,4,four,peer
two,30,4,four,peer
three,25,4,four,peer
four,25,4,four,self
one,30,4,one,self
two,25,4,one,peer
three,20,4,one,peer
four,25,4,one,peer
one,25,4,two,peer
two,30,4,two,self
three,20,4,two,peer
four,25,4,two,peer
one,25,4,three,peer
two,25,4,three,peer
three,35,4,three,self
four,15,4,three,peer
four,25,4,four,self
one,25,4,one,self
one,17,4,two,peer
two,23,4,two,self
three,30,4,two,peer
four,30,4,two,peer
three,25,4,three,self
one,15,4,four,peer
two,35,4,four,peer
three,30,4,four,peer
four,20,4,four,self
one,25,4,one,self
two,25,4,two,self
three,50,4,three,self
four,25,4,four,self
one,30,4,one,self
one,20,4,two,peer
two,30,4,two,self
three,25,4,two,peer
four,25,4,two,peer
three,25,4,three,self
one,20,4,four,peer
two,30,4,four,peer
three,25,4,four,peer
four,25,4,four,self
one,30,4,one,self
two,25,4,two,self
three,25,4,three,self
one,25,4,four,peer
two,25,4,four,peer
three,25,4,four,peer
four,25,4,four,self
one,25,4,one,self
two,30,4,one,peer
three,20,4,one,peer
four,25,4,one,peer
two,30,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,35,4,one,peer
three,20,4,one,peer
four,20,4,one,peer
one,25,4,two,peer
two,35,4,two,self
three,20,4,two,peer
four,20,4,two,peer
three,25,4,three,self
one,25,4,four,peer
two,25,4,four,peer
three,25,4,four,peer
four,25,4,four,self
one,40,4,one,self
two,20,4,two,self
one,50,4,three,peer
two,0,4,three,peer
three,25,4,three,self
four,25,4,three,peer
one,35,4,four,peer
two,20,4,four,peer
three,25,4,four,peer
four,20,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,30,4,one,self
one,25,4,two,peer
two,30,4,two,self
three,20,4,two,peer
four,25,4,two,peer
three,25,4,three,self
four,25,4,four,self
one,30,4,one,self
one,20,4,two,peer
two,30,4,two,self
three,25,4,two,peer
four,25,4,two,peer
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
one,25,4,two,peer
two,25,4,two,self
three,25,4,two,peer
four,25,4,two,peer
three,30,4,three,self
one,25,4,four,peer
two,25,4,four,peer
three,25,4,four,peer
four,25,4,four,self
one,30,4,one,self
two,20,4,one,peer
three,25,4,one,peer
four,25,4,one,peer
one,25,4,two,peer
two,30,4,two,self
three,20,4,two,peer
four,25,4,two,peer
one,25,4,three,peer
two,25,4,three,peer
three,30,4,three,self
four,20,4,three,peer
four,25,4,four,self
one,30,4,one,self
one,25,4,two,peer
two,35,4,two,self
three,20,4,two,peer
four,20,4,two,peer
three,25,4,three,self
one,25,4,four,peer
two,25,4,four,peer
three,25,4,four,peer
four,25,4,four,self
one,25,4,one,self
one,25,4,two,peer
two,30,4,two,self
three,20,4,two,peer
four,25,4,two,peer
three,25,4,three,self
four,25,4,four,self
one,70,4,one,self
two,30,4,two,self
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,25,4,one,peer
three,25,4,one,peer
four,25,4,one,peer
one,15,4,two,peer
two,30,4,two,self
three,25,4,two,peer
four,30,4,two,peer
one,20,4,three,peer
two,20,4,three,peer
three,30,4,three,self
four,30,4,three,peer
one,10,4,four,peer
two,30,4,four,peer
three,25,4,four,peer
four,35,4,four,self
one,40,4,one,self
two,20,4,one,peer
three,30,4,one,peer
four,10,4,one,peer
one,20,4,two,peer
two,30,4,two,self
three,25,4,two,peer
four,25,4,two,peer
three,25,4,three,self
one,20,4,four,peer
two,30,4,four,peer
three,25,4,four,peer
four,25,4,four,self
one,25,4,one,self
one,25,4,two,peer
two,35,4,two,self
three,20,4,two,peer
four,20,4,two,peer
three,0,4,three,self
four,20,4,four,self
one,35,4,one,self
one,20,4,two,peer
two,30,4,two,self
three,25,4,two,peer
four,25,4,two,peer
three,25,4,three,self
one,25,4,four,peer
two,25,4,four,peer
three,25,4,four,peer
four,25,4,four,self
one,30,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,35,4,one,self
one,15,4,two,peer
two,35,4,two,self
three,25,4,two,peer
four,25,4,two,peer
one,25,4,three,peer
two,25,4,three,peer
three,40,4,three,self
four,10,4,three,peer
one,20,4,four,peer
two,20,4,four,peer
three,20,4,four,peer
four,40,4,four,self
one,25,4,one,self
two,25,4,two,self
three,25,4,three,self
one,10,4,four,peer
two,20,4,four,peer
three,30,4,four,peer
four,40,4,four,self
one,25,4,one,self
one,15,4,two,peer
two,30,4,two,self
three,25,4,two,peer
four,30,4,two,peer
three,25,4,three,self
four,25,4,four,self
one,25,4,one,self
two,30,4,one,peer
three,25,4,one,peer
four,20,4,one,peer
two,30,4,two,self
three,25,4,three,self
one,25,4,four,peer
two,30,4,four,peer
three,20,4,four,peer
four,25,4,four,self
one,30,4,one,self
two,20,4,two,self
three,25,4,three,self
four,30,4,four,self
one,30,4,one,self
two,25,4,two,self
three,25,4,three,self
four,25,4,four,self
one,30,4,one,self
two,25,4,two,self
three,25,4,three,self
one,25,4,four,peer
two,25,4,four,peer
three,25,4,four,peer
four,25,4,four,self
one,30,4,one,self
two,25,4,two,self
three,30,4,three,self
three,20,4,four,peer
four,30,4,four,self
one,25,4,one,self
one,20,4,two,peer
two,30,4,two,self
three,25,4,two,peer
four,25,4,two,peer
one,20,4,three,peer
two,20,4,three,peer
three,30,4,three,self
four,30,4,three,peer
one,25,4,four,peer
two,25,4,four,peer
three,25,4,four,peer
four,25,4,four,self
one,25,4,one,self
two,35,4,one,peer
three,20,4,one,peer
four,20,4,one,peer
one,20,4,two,peer
two,30,4,two,self
three,25,4,two,peer
four,25,4,two,peer
three,25,4,three,self
four,35,4,four,self
one,30,4,one,self
one,25,4,two,peer
two,35,4,two,self
three,20,4,two,peer
four,20,4,two,peer
one,20,4,three,peer
two,30,4,three,peer
three,40,4,three,self
four,10,4,three,peer
one,20,4,four,peer
two,20,4,four,peer
three,30,4,four,peer
four,30,4,four,self
one,50,4,one,self
two,30,4,two,self
three,25,4,three,self
one,30,4,four,peer
two,5,4,four,peer
three,25,4,four,peer
four,40,4,four,self
